1 2 3
2 2 4
3 2 5
4 3 7
5 2 7
6 2 8
7 2 9
8 3 11
9 2 11
10 3 13
11 2 13
12 4 16
13 3 16
14 2 16
15 2 17
16 3 19
17 2 19
18 5 23
19 4 23
20 3 23
21 2 23
22 3 25
23 2 25
24 3 27
25 2 27
26 3 29
27 2 29
28 3 31
29 2 31
30 2 32
31 14 45
32 5 37
33 4 37
34 3 37
35 2 37
36 5 41
37 4 41
38 3 41
39 2 41
40 3 43
41 2 43
42 5 47
43 4 47
44 3 47
45 2 47
46 3 49
47 2 49
48 5 53
49 4 53
50 3 53
51 2 53
52 6 58
53 8 61
54 5 59
55 4 59
56 3 59
57 2 59
58 3 61
59 2 61
60 4 64
61 3 64
62 2 64
63 4 67
64 3 67
65 2 67
66 5 71
67 4 71
68 3 71
69 2 71
70 3 73
71 2 73
72 7 79
73 8 81
74 5 79
75 4 79
76 3 79
77 2 79
78 3 81
79 2 81
80 3 83
81 2 83
82 6 88
83 10 93
84 5 89
85 4 89
86 3 89
87 2 89
88 6 94
89 6 95
90 6 96
91 15 106
92 5 97
93 4 97
94 3 97
95 2 97
96 5 101
97 4 101
98 3 101
99 2 101
100 3 103
101 2 103
102 5 107
103 4 107
104 3 107
105 2 107
106 3 109
107 2 109
108 5 113
109 4 113
110 3 113
111 2 113
112 6 118
113 6 119
114 7 121
115 13 128
116 5 121
117 4 121
118 3 121
119 2 121
120 5 125
121 4 125
122 3 125
123 2 125
124 3 127
125 2 127
126 2 128
127 4 131
128 3 131
129 2 131
130 6 136
131 8 139
132 5 137
133 4 137
134 3 137
135 2 137
136 3 139
137 2 139
138 6 144
139 6 145
140 6 146
141 6 147
142 6 148
143 8 151
144 5 149
145 4 149
146 3 149
147 2 149
148 3 151
149 2 151
150 7 157
151 10 161
152 5 157
153 4 157
154 3 157
155 2 157
156 6 162
157 14 171
158 5 163
159 4 163
160 3 163
161 2 163
162 5 167
163 4 167
164 3 167
165 2 167
166 3 169
167 2 169
168 5 173
169 4 173
170 3 173
171 2 173
172 6 178
173 8 181
174 5 179
175 4 179
176 3 179
177 2 179
178 3 181
179 2 181
180 11 191
181 6 187
182 6 188
183 6 189
184 7 191
185 8 193
186 5 191
187 4 191
188 3 191
189 2 191
190 3 193
191 2 193
192 5 197
193 4 197
194 3 197
195 2 197
196 3 199
197 2 199
198 10 208
199 6 205
200 6 206
201 6 207
202 6 208
203 6 209
204 7 211
205 10 215
206 5 211
207 4 211
208 3 211
209 2 211
210 6 216
211 6 217
212 6 218
213 6 219
214 9 223
215 6 221
216 7 223
217 15 232
218 5 223
219 4 223
220 3 223
221 2 223
222 5 227
223 4 227
224 3 227
225 2 227
226 3 229
227 2 229
228 5 233
229 4 233
230 3 233
231 2 233
232 7 239
233 8 241
234 5 239
235 4 239
236 3 239
237 2 239
238 3 241
239 2 241
240 3 243
241 2 243
242 6 248
243 6 249
244 6 250
245 11 256
246 5 251
247 4 251
248 3 251
249 2 251
250 7 257
251 5 256
252 4 256
253 3 256
254 2 256
255 2 257
256 6 262
257 10 267
258 5 263
259 4 263
260 3 263
261 2 263
262 6 268
263 8 271
264 5 269
265 4 269
266 3 269
267 2 269
268 3 271
269 2 271
270 7 277
271 20 291
272 5 277
273 4 277
274 3 277
275 2 277
276 5 281
277 4 281
278 3 281
279 2 281
280 3 283
281 2 283
282 6 288
283 12 295
284 5 289
285 4 289
286 3 289
287 2 289
288 5 293
289 4 293
290 3 293
291 2 293
292 6 298
293 6 299
294 10 304
295 6 301
296 6 302
297 6 303
298 6 304
299 6 305
300 7 307
301 15 316
302 5 307
303 4 307
304 3 307
305 2 307
306 5 311
307 4 311
308 3 311
309 2 311
310 3 313
311 2 313
312 5 317
313 4 317
314 3 317
315 2 317
316 10 326
317 6 323
318 6 324
319 6 325
320 6 326
321 6 327
322 6 328
323 6 329
324 7 331
325 10 335
326 5 331
327 4 331
328 3 331
329 2 331
330 7 337
331 10 341
332 5 337
333 4 337
334 3 337
335 2 337
336 7 343
337 14 351
338 5 343
339 4 343
340 3 343
341 2 343
342 5 347
343 4 347
344 3 347
345 2 347
346 3 349
347 2 349
348 5 353
349 4 353
350 3 353
351 2 353
352 6 358
353 8 361
354 5 359
355 4 359
356 3 359
357 2 359
358 3 361
359 2 361
360 7 367
361 10 371
362 5 367
363 4 367
364 3 367
365 2 367
366 7 373
367 10 377
368 5 373
369 4 373
370 3 373
371 2 373
372 7 379
373 14 387
374 5 379
375 4 379
376 3 379
377 2 379
378 5 383
379 4 383
380 3 383
381 2 383
382 6 388
383 10 393
384 5 389
385 4 389
386 3 389
387 2 389
388 6 394
389 6 395
390 7 397
391 12 403
392 5 397
393 4 397
394 3 397
395 2 397
396 5 401
397 4 401
398 3 401
399 2 401
400 9 409
401 6 407
402 7 409
403 10 413
404 5 409
405 4 409
406 3 409
407 2 409
408 11 419
409 6 415
410 6 416
411 6 417
412 7 419
413 8 421
414 5 419
415 4 419
416 3 419
417 2 419
418 3 421
419 2 421
420 11 431
421 6 427
422 6 428
423 8 431
424 7 431
425 8 433
426 5 431
427 4 431
428 3 431
429 2 431
430 3 433
431 2 433
432 7 439
433 12 445
434 5 439
435 4 439
436 3 439
437 2 439
438 5 443
439 4 443
440 3 443
441 2 443
442 6 448
443 10 453
444 5 449
445 4 449
446 3 449
447 2 449
448 6 454
449 8 457
450 7 457
451 15 466
452 5 457
453 4 457
454 3 457
455 2 457
456 5 461
457 4 461
458 3 461
459 2 461
460 3 463
461 2 463
462 5 467
463 4 467
464 3 467
465 2 467
466 6 472
467 6 473
468 10 478
469 6 475
470 9 479
471 6 477
472 6 478
473 12 485
474 5 479
475 4 479
476 3 479
477 2 479
478 6 484
479 6 485
480 6 486
481 12 493
482 5 487
483 4 487
484 3 487
485 2 487
486 5 491
487 4 491
488 3 491
489 2 491
490 6 496
491 6 497
492 7 499
493 12 505
494 5 499
495 4 499
496 3 499
497 2 499
498 5 503
499 4 503
500 3 503
501 2 503
502 6 508
503 9 512
504 5 509
505 4 509
506 3 509
507 2 509
508 4 512
509 3 512
510 2 512
511 6 517
512 9 521
513 6 519
514 7 521
515 8 523
516 5 521
517 4 521
518 3 521
519 2 521
520 3 523
521 2 523
522 7 529
523 10 533
524 5 529
525 4 529
526 3 529
527 2 529
528 10 538
529 6 535
530 6 536
531 6 537
532 6 538
533 6 539
534 7 541
535 10 545
536 5 541
537 4 541
538 3 541
539 2 541
540 7 547
541 10 551
542 5 547
543 4 547
544 3 547
545 2 547
546 10 556
547 6 553
548 6 554
549 8 557
550 6 556
551 14 565
552 5 557
553 4 557
554 3 557
555 2 557
556 6 562
557 10 567
558 5 563
559 4 563
560 3 563
561 2 563
562 6 568
563 8 571
564 5 569
565 4 569
566 3 569
567 2 569
568 3 571
569 2 571
570 6 576
571 10 581
572 5 577
573 4 577
574 3 577
575 2 577
576 10 586
577 6 583
578 6 584
579 8 587
580 6 586
581 10 591
582 5 587
583 4 587
584 3 587
585 2 587
586 6 592
587 10 597
588 5 593
589 4 593
590 3 593
591 2 593
592 7 599
593 8 601
594 5 599
595 4 599
596 3 599
597 2 599
598 3 601
599 2 601
600 7 607
601 10 611
602 5 607
603 4 607
604 3 607
605 2 607
606 7 613
607 14 621
608 5 613
609 4 613
610 3 613
611 2 613
612 5 617
613 4 617
614 3 617
615 2 617
616 3 619
617 2 619
618 7 625
619 10 629
620 5 625
621 4 625
622 3 625
623 2 625
624 7 631
625 10 635
626 5 631
627 4 631
628 3 631
629 2 631
630 10 640
631 6 637
632 9 641
633 6 639
